Timestamp,Container,CPU%,MemUsage(MB),MemLimit(MB),Mem%
2026-02-22T14:37:13.682Z,bank-api-pgbouncer,20.9,1.93,512.00,0.38
2026-02-22T14:37:13.682Z,bank-api-db,76.7,222.40,6144.00,3.62
2026-02-22T14:37:14.698Z,api-bank-app-2,99.34,76.67,1024.00,7.49
2026-02-22T14:37:14.698Z,api-bank-app-1,64.83,76.56,1024.00,7.48
2026-02-22T14:37:14.698Z,bank-api-pgbouncer,19.75,1.92,512.00,0.38
2026-02-22T14:37:14.698Z,bank-api-db,73.03,222.90,6144.00,3.63
2026-02-22T14:37:15.718Z,api-bank-app-2,88.43,76.66,1024.00,7.49
2026-02-22T14:37:15.718Z,api-bank-app-1,75.14,76.54,1024.00,7.47
2026-02-22T14:37:15.718Z,bank-api-pgbouncer,19.29,2.40,512.00,0.47
2026-02-22T14:37:15.718Z,bank-api-db,70.95,222.40,6144.00,3.62
2026-02-22T14:37:16.778Z,api-bank-app-2,86.36,76.92,1024.00,7.51
2026-02-22T14:37:16.778Z,api-bank-app-1,81.43,76.71,1024.00,7.49
2026-02-22T14:37:16.778Z,bank-api-pgbouncer,20.84,1.92,512.00,0.37
2026-02-22T14:37:16.778Z,bank-api-db,76.77,222.70,6144.00,3.62
2026-02-22T14:37:17.772Z,api-bank-app-2,97.64,77.00,1024.00,7.52
2026-02-22T14:37:17.772Z,api-bank-app-1,84.35,76.78,1024.00,7.5
2026-02-22T14:37:17.772Z,bank-api-pgbouncer,22.52,1.94,512.00,0.38
2026-02-22T14:37:17.772Z,bank-api-db,79.6,223.00,6144.00,3.63
2026-02-22T14:37:18.820Z,api-bank-app-2,90.61,76.97,1024.00,7.52
2026-02-22T14:37:18.820Z,api-bank-app-1,84.32,77.02,1024.00,7.52
2026-02-22T14:37:18.820Z,bank-api-pgbouncer,23.47,2.18,512.00,0.42
2026-02-22T14:37:18.820Z,bank-api-db,79.61,223.50,6144.00,3.64
2026-02-22T14:37:19.831Z,api-bank-app-2,90.15,76.95,1024.00,7.51
2026-02-22T14:37:19.831Z,api-bank-app-1,83.21,77.83,1024.00,7.6
2026-02-22T14:37:19.831Z,bank-api-pgbouncer,22.97,1.92,512.00,0.37
2026-02-22T14:37:19.831Z,bank-api-db,80.31,223.60,6144.00,3.64
2026-02-22T14:37:20.854Z,api-bank-app-2,85.68,76.98,1024.00,7.52
2026-02-22T14:37:20.854Z,api-bank-app-1,79.87,77.27,1024.00,7.55
2026-02-22T14:37:20.854Z,bank-api-pgbouncer,21.21,1.93,512.00,0.38
2026-02-22T14:37:20.854Z,bank-api-db,78.42,224.20,6144.00,3.65
2026-02-22T14:37:21.888Z,api-bank-app-2,83.96,76.71,1024.00,7.49
2026-02-22T14:37:21.888Z,api-bank-app-1,87.32,77.55,1024.00,7.57
2026-02-22T14:37:21.888Z,bank-api-pgbouncer,22.13,1.93,512.00,0.38
2026-02-22T14:37:21.888Z,bank-api-db,73.1,224.00,6144.00,3.65
2026-02-22T14:37:22.889Z,api-bank-app-2,72.95,77.00,1024.00,7.52
2026-02-22T14:37:22.889Z,api-bank-app-1,99.34,78.54,1024.00,7.67
2026-02-22T14:37:22.889Z,bank-api-pgbouncer,21.21,2.43,512.00,0.47
2026-02-22T14:37:22.889Z,bank-api-db,73.79,223.70,6144.00,3.64
2026-02-22T14:37:23.956Z,api-bank-app-2,77.02,77.07,1024.00,7.53
2026-02-22T14:37:23.956Z,api-bank-app-1,98.3,78.13,1024.00,7.63
2026-02-22T14:37:23.956Z,bank-api-pgbouncer,20.77,2.42,512.00,0.47
